FTE_group,FTE_length,TEdb_length,MaskingAdjustment
DTA_ZM00108_consensus,781,953,1.220230474
DTA_ZM00109_consensus,178,178,1
DTA_ZM00111_consensus,233,614,2.635193133
DTA_ZM00112_consensus,396,889,2.244949495
DTA_ZM00113_consensus,403,403,1
DTA_ZM00114_consensus,776,1025,1.320876289
DTA_ZM00115_consensus,271,864,3.188191882
DTA_ZM00121_consensus,271,271,1
DTA_ZM00123_consensus,102,674,6.607843137
DTA_ZM00124_consensus,231,231,1
DTA_ZM00125_consensus,197,768,3.898477157
DTA_ZM00126_consensus,550,586,1.065454545
DTA_ZM00129_consensus,478,478,1
DTA_ZM00131_consensus,130,666,5.123076923
DTA_ZM00132_consensus,272,826,3.036764706
DTA_ZM00133_consensus,671,671,1
DTA_ZM00134_consensus,187,187,1
DTA_ZM00136_consensus,861,1015,1.178861789
DTA_ZM00137_consensus,166,166,1
DTA_ZM00138_consensus,1173,1173,1
DTA_ZM00139_consensus,380,548,1.442105263
DTA_ZM00140_consensus,264,815,3.087121212
DTA_ZM00141_consensus,620,924,1.490322581
DTA_ZM00142_consensus,185,185,1
DTA_ZM00144_consensus,309,840,2.718446602
DTA_ZM00145_consensus,583,935,1.603773585
DTA_ZM00146_consensus,498,800,1.606425703
DTA_ZM00148_consensus,359,993,2.766016713
DTA_ZM00149_consensus,665,1037,1.559398496
DTA_ZM00150_consensus,682,682,1
DTA_ZM00151_consensus,472,618,1.309322034
DTA_ZM00152_consensus,243,1194,4.913580247
DTA_ZM00153_consensus,1012,1012,1
DTA_ZM00154_consensus,447,802,1.794183445
DTA_ZM00155_consensus,614,614,1
DTA_ZM00156_consensus,510,510,1
DTA_ZM00157_consensus,481,762,1.584199584
DTA_ZM00158_consensus,296,569,1.922297297
DTA_ZM00159_consensus,641,1012,1.578783151
DTA_ZM00160_consensus,726,726,1
DTA_ZM00162_consensus,224,788,3.517857143
DTA_ZM00164_consensus,474,835,1.761603376
DTA_ZM00165_consensus,572,572,1
DTA_ZM00166_consensus,244,244,1
DTA_ZM00167_consensus,337,668,1.982195846
DTA_ZM00168_consensus,168,168,1
DTA_ZM00169_consensus,370,538,1.454054054
DTA_ZM00171_consensus,74,958,12.94594595
DTA_ZM00172_consensus,107,694,6.485981308
DTA_ZM00173_consensus,162,640,3.950617284
DTA_ZM00174_consensus,190,190,1
DTA_ZM00179_consensus,465,1785,3.838709677
DTA_ZM00180_consensus,343,529,1.542274052
DTA_ZM00181_consensus,592,592,1
DTA_ZM00182_consensus,403,434,1.076923077
DTA_ZM00183_consensus,234,309,1.320512821
DTA_ZM00184_consensus,796,796,1
DTA_ZM00186_consensus,397,397,1
DTA_ZM00187_consensus,883,883,1
DTA_ZM00188_consensus,571,571,1
DTA_ZM00189_consensus,784,784,1
DTA_ZM00190_consensus,432,854,1.976851852
DTA_ZM00191_consensus,167,167,1
DTA_ZM00192_consensus,576,1088,1.888888889
DTA_ZM00194_consensus,348,523,1.502873563
DTA_ZM00195_consensus,275,275,1
DTA_ZM00196_consensus,719,865,1.203059805
DTA_ZM00197_consensus,691,946,1.369030391
DTA_ZM00199_consensus,617,617,1
DTA_ZM00201_consensus,474,549,1.158227848
DTA_ZM00202_consensus,362,695,1.919889503
DTA_ZM00207_consensus,802,802,1
DTA_ZM00208_consensus,466,466,1
DTA_ZM00209_consensus,150,579,3.86
DTA_ZM00210_consensus,158,158,1
DTA_ZM00211_consensus,535,535,1
DTA_ZM00212_consensus,786,786,1
DTA_ZM00213_consensus,435,1007,2.314942529
DTA_ZM00214_consensus,401,784,1.955112219
DTA_ZM00215_consensus,79,593,7.506329114
DTA_ZM00217_consensus,377,377,1
DTA_ZM00218_consensus,157,157,1
DTA_ZM00219_consensus,195,195,1
DTA_ZM00220_consensus,149,562,3.771812081
DTA_ZM00221_consensus,117,473,4.042735043
DTA_ZM00224_consensus,144,551,3.826388889
DTA_ZM00225_consensus,214,793,3.705607477
DTA_ZM00226_consensus,178,1111,6.241573034
DTA_ZM00227_consensus,85,955,11.23529412
DTA_ZM00228_consensus,339,692,2.041297935
DTA_ZM00229_consensus,377,536,1.421750663
DTA_ZM00230_consensus,157,157,1
DTA_ZM00231_consensus,743,743,1
DTA_ZM00232_consensus,420,782,1.861904762
DTA_ZM00233_consensus,619,1160,1.873990307
DTA_ZM00234_consensus,183,543,2.967213115
DTA_ZM00236_consensus,678,678,1
DTA_ZM00237_consensus,750,750,1
DTA_ZM00239_consensus,162,162,1
DTA_ZM00240_consensus,562,730,1.298932384
DTA_ZM00241_consensus,234,891,3.807692308
DTA_ZM00242_consensus,782,782,1
DTA_ZM00243_consensus,156,156,1
DTA_ZM00245_consensus,801,1149,1.434456929
DTA_ZM00246_consensus,814,1160,1.425061425
DTA_ZM00247_consensus,592,592,1
DTA_ZM00248_consensus,316,681,2.155063291
DTA_ZM00249_consensus,200,200,1
DTA_ZM00250_consensus,612,612,1
DTA_ZM00251_consensus,358,549,1.533519553
DTA_ZM00253_consensus,792,961,1.213383838
DTA_ZM00254_consensus,253,639,2.5256917
DTA_ZM00255_consensus,876,876,1
DTA_ZM00256_consensus,242,901,3.723140496
DTA_ZM00258_consensus,829,829,1
DTA_ZM00259_consensus,944,1117,1.183262712
DTA_ZM00260_consensus,345,1091,3.162318841
DTA_ZM00261_consensus,335,516,1.540298507
DTA_ZM00262_consensus,410,484,1.180487805
DTA_ZM00263_consensus,836,836,1
DTA_ZM00264_consensus,841,841,1
DTA_ZM00265_consensus,388,737,1.899484536
DTA_ZM00266_consensus,157,157,1
DTA_ZM00267_consensus,641,641,1
DTA_ZM00270_consensus,315,952,3.022222222
DTA_ZM00271_consensus,310,649,2.093548387
DTA_ZM00272_consensus,823,823,1
DTA_ZM00274_consensus,210,210,1
DTA_ZM00276_consensus,396,716,1.808080808
DTA_ZM00277_consensus,496,496,1
DTA_ZM00278_consensus,653,653,1
DTA_ZM00280_consensus,313,662,2.115015974
DTA_ZM00282_consensus,372,817,2.196236559
DTA_ZM00283_consensus,536,536,1
DTA_ZM00285_consensus,479,854,1.782881002
DTA_ZM00286_consensus,169,601,3.556213018
DTA_ZM00287_consensus,1200,1200,1
DTA_ZM00288_consensus,760,760,1
DTA_ZM00289_consensus,796,796,1
DTA_ZM00290_consensus,264,264,1
DTA_ZM00292_consensus,538,538,1
DTA_ZM00294_consensus,301,301,1
DTA_ZM00296_consensus,520,929,1.786538462
DTA_ZM00299_consensus,652,652,1
DTA_ZM00300_consensus,112,532,4.75
DTA_ZM00301_consensus,621,717,1.154589372
DTA_ZM00302_consensus,355,355,1
DTA_ZM00303_consensus,157,157,1
DTA_ZM00304_consensus,547,547,1
DTA_ZM00306_consensus,521,873,1.6756238
DTA_ZM00308_consensus,446,707,1.585201794
DTA_ZM00312_consensus,200,837,4.185
DTA_ZM00313_consensus,415,553,1.33253012
DTA_ZM00314_consensus,367,536,1.460490463
DTA_ZM00315_consensus,158,792,5.012658228
DTA_ZM00316_consensus,76,849,11.17105263
DTA_ZM00317_consensus,158,845,5.348101266
DTA_ZM00319_consensus,486,542,1.115226337
DTA_ZM00322_consensus,369,533,1.444444444
DTA_ZM00323_consensus,181,181,1
DTA_ZM00324_consensus,326,460,1.411042945
DTA_ZM00325_consensus,82,416,5.073170732
DTA_ZM00326_consensus,561,561,1
DTA_ZM00327_consensus,661,813,1.229954614
DTA_ZM00328_consensus,480,480,1
DTA_ZM00329_consensus,528,924,1.75
DTA_ZM00330_consensus,365,738,2.021917808
DTA_ZM00332_consensus,312,1019,3.266025641
DTA_ZM00333_consensus,235,675,2.872340426
DTA_ZM00335_consensus,171,171,1
DTA_ZM00336_consensus,285,937,3.287719298
DTA_ZM00339_consensus,167,167,1
DTA_ZM00340_consensus,224,224,1
DTA_ZM00341_consensus,83,599,7.21686747
DTA_ZM00343_consensus,534,612,1.146067416
DTA_ZM00346_consensus,529,529,1
DTA_ZM00347_consensus,238,657,2.760504202
DTA_ZM00348_consensus,175,175,1
DTA_ZM00351_consensus,459,808,1.760348584
DTA_ZM00353_consensus,235,235,1
DTA_ZM00356_consensus,166,166,1
DTA_ZM00357_consensus,201,567,2.820895522
DTA_ZM00358_consensus,135,135,1
DTA_ZM00361_consensus,736,845,1.148097826
DTA_ZM00362_consensus,402,846,2.104477612
DTA_ZM00364_consensus,167,167,1
DTA_ZM00365_consensus,596,596,1
DTA_ZM00366_consensus,809,809,1
DTA_ZM00373_consensus,257,667,2.595330739
DTA_ZM00374_consensus,131,131,1
DTA_ZM00377_consensus,183,238,1.300546448
DTA_ZM00378_consensus,156,156,1
DTA_ZM00379_consensus,164,164,1
DTA_ZM00380_consensus,454,454,1
DTA_ZM00381_consensus,459,879,1.91503268
DTA_ZM00382_consensus,142,142,1
DTA_ZM00383_consensus,384,384,1
DTA_ZM00384_consensus,501,538,1.073852295
DTA_ZM00385_consensus,285,840,2.947368421
DTA_ZM00387_consensus,395,395,1
DTC_ZM00002_consensus,639,8934,13.98122066
DTC_ZM00003_consensus,600,5314,8.856666667
DTC_ZM00004_consensus,650,8255,12.7
DTC_ZM00005_consensus,164,7350,44.81707317
DTC_ZM00006_consensus,2721,10636,3.908857038
DTC_ZM00007_consensus,1773,9706,5.474337281
DTC_ZM00010_consensus,1152,9492,8.239583333
DTC_ZM00012_consensus,92,8408,91.39130435
DTC_ZM00013_consensus,3182,6528,2.051539912
DTC_ZM00014_consensus,9809,13385,1.364563156
DTC_ZM00015_consensus,5583,5583,1
DTC_ZM00016_consensus,566,11010,19.45229682
DTC_ZM00017_consensus,4500,11881,2.640222222
DTC_ZM00020_consensus,1532,8415,5.492819843
DTC_ZM00021_consensus,1356,8239,6.075958702
DTC_ZM00022_consensus,104,7716,74.19230769
DTC_ZM00023_consensus,82,10048,122.5365854
DTC_ZM00025_consensus,5482,10158,1.852973367
DTC_ZM00026_consensus,1268,8740,6.892744479
DTC_ZM00027_consensus,1172,7818,6.670648464
DTC_ZM00028_consensus,2051,7344,3.580692345
DTC_ZM00030_consensus,938,6856,7.309168443
DTC_ZM00031_consensus,138,8037,58.23913043
DTC_ZM00034_consensus,5166,7561,1.463608208
DTC_ZM00036_consensus,90,6249,69.43333333
DTC_ZM00038_consensus,759,7560,9.960474308
DTC_ZM00041_consensus,2045,10167,4.971638142
DTC_ZM00043_consensus,945,6095,6.44973545
DTC_ZM00044_consensus,1282,7007,5.465678627
DTC_ZM00045_consensus,6572,7920,1.205112599
DTC_ZM00047_consensus,454,8441,18.59251101
DTC_ZM00050_consensus,299,11122,37.19732441
DTC_ZM00051_consensus,7104,11593,1.631897523
DTC_ZM00052_consensus,204,11599,56.85784314
DTC_ZM00053_consensus,384,9077,23.63802083
DTC_ZM00056_consensus,159,7894,49.64779874
DTC_ZM00057_consensus,326,10595,32.5
DTC_ZM00059_consensus,350,6259,17.88285714
DTC_ZM00060_consensus,9256,9256,1
DTC_ZM00061_consensus,2540,9907,3.900393701
DTC_ZM00062_consensus,3350,9778,2.91880597
DTC_ZM00063_consensus,7969,15583,1.955452378
DTC_ZM00065_consensus,108,11487,106.3611111
DTC_ZM00068_consensus,1690,9931,5.876331361
DTC_ZM00069_consensus,5042,10364,2.055533518
DTC_ZM00070_consensus,378,8979,23.75396825
DTC_ZM00072_consensus,365,11888,32.56986301
DTC_ZM00077_consensus,4936,9991,2.02410859
DTC_ZM00078_consensus,78,9349,119.8589744
DTC_ZM00081_consensus,3634,9075,2.497248211
DTC_ZM00082_consensus,1728,11092,6.418981481
DTC_ZM00083_consensus,1705,10891,6.387683284
DTC_ZM00084_consensus,1556,8933,5.741002571
DTC_ZM00085_consensus,694,9172,13.21613833
DTC_ZM00089_consensus,1603,12061,7.524017467
DTC_ZM00091_consensus,193,7832,40.58031088
DTC_ZM00092_consensus,2923,9945,3.402326377
DTC_ZM00093_consensus,1346,9114,6.771173848
DTC_ZM00094_consensus,10989,11085,1.008736009
DTC_ZM00095_consensus,868,9001,10.36981567
DTC_ZM00096_consensus,154,10631,69.03246753
DTC_ZM00098_consensus,78,10601,135.9102564
DTC_ZM00101_consensus,7268,7268,1
DTC_ZM00102_consensus,684,8500,12.42690058
DTC_ZM00103_consensus,176,5187,29.47159091
DTC_ZM00105_consensus,1603,4806,2.998128509
DTC_ZM00106_consensus,3168,3393,1.071022727
DTC_ZM00107_consensus,5470,5695,1.041133455
DTC_ZM00108_consensus,6480,6838,1.055246914
DTC_ZM00109_consensus,1053,1053,1
DTC_ZM00110_consensus,150,150,1
DTC_ZM00113_consensus,343,564,1.644314869
DTC_ZM00122_consensus,602,1438,2.388704319
DTC_ZM00125_consensus,259,259,1
DTC_ZM00126_consensus,236,236,1
DTH_ZM00001_consensus,3833,3833,1
DTH_ZM00003_consensus,4064,4064,1
DTH_ZM00004_consensus,3203,5084,1.587261942
DTH_ZM00005_consensus,94,5088,54.12765957
DTH_ZM00011_consensus,844,4300,5.09478673
DTH_ZM00012_consensus,4663,4663,1
DTH_ZM00013_consensus,3901,3901,1
DTH_ZM00014_consensus,3501,3642,1.040274207
DTH_ZM00015_consensus,1162,4607,3.964716007
DTH_ZM00016_consensus,1733,5048,2.912867859
DTH_ZM00017_consensus,4491,4491,1
DTH_ZM00018_consensus,4875,4875,1
DTH_ZM00019_consensus,3961,4375,1.104519061
DTH_ZM00020_consensus,3596,4043,1.124304783
DTH_ZM00021_consensus,4904,4904,1
DTH_ZM00022_consensus,4357,4357,1
DTH_ZM00023_consensus,535,3986,7.45046729
DTH_ZM00024_consensus,1909,5331,2.792561551
DTH_ZM00025_consensus,1905,2018,1.059317585
DTH_ZM00026_consensus,3642,4173,1.145799012
DTH_ZM00027_consensus,3960,4008,1.012121212
DTH_ZM00029_consensus,3848,4862,1.263513514
DTH_ZM00030_consensus,3259,4466,1.370359006
DTH_ZM00031_consensus,3255,4459,1.369892473
DTH_ZM00032_consensus,3210,5113,1.592834891
DTH_ZM00034_consensus,1329,6060,4.559819413
DTH_ZM00035_consensus,6231,6279,1.007703418
DTH_ZM00036_consensus,3198,4379,1.369293308
DTH_ZM00037_consensus,184,380,2.065217391
DTH_ZM00038_consensus,502,502,1
DTH_ZM00039_consensus,268,268,1
DTH_ZM00040_consensus,91,400,4.395604396
DTH_ZM00042_consensus,145,145,1
DTH_ZM00043_consensus,190,190,1
DTH_ZM00044_consensus,433,433,1
DTH_ZM00045_consensus,348,348,1
DTH_ZM00048_consensus,192,192,1
DTH_ZM00049_consensus,221,377,1.705882353
DTH_ZM00050_consensus,210,328,1.561904762
DTH_ZM00051_consensus,532,532,1
DTH_ZM00052_consensus,379,379,1
DTH_ZM00053_consensus,503,503,1
DTH_ZM00054_consensus,402,402,1
DTH_ZM00055_consensus,539,539,1
DTH_ZM00056_consensus,345,345,1
DTH_ZM00057_consensus,447,447,1
DTH_ZM00058_consensus,179,179,1
DTH_ZM00062_consensus,333,333,1
DTH_ZM00071_consensus,170,170,1
DTH_ZM00073_consensus,128,128,1
DTH_ZM00084_consensus,249,392,1.574297189
DTH_ZM00089_consensus,126,126,1
DTH_ZM00090_consensus,110,110,1
DTH_ZM00093_consensus,346,346,1
DTH_ZM00096_consensus,460,609,1.323913043
DTH_ZM00104_consensus,1195,1195,1
DTH_ZM00114_consensus,210,210,1
DTH_ZM00118_consensus,137,137,1
DTH_ZM00119_consensus,107,107,1
DTH_ZM00124_consensus,258,258,1
DTH_ZM00127_consensus,232,232,1
DTH_ZM00135_consensus,399,399,1
DTH_ZM00140_consensus,665,839,1.261654135
DTH_ZM00145_consensus,83,378,4.554216867
DTH_ZM00153_consensus,78,78,1
DTH_ZM00159_consensus,231,390,1.688311688
DTH_ZM00160_consensus,118,118,1
DTH_ZM00162_consensus,286,286,1
DTH_ZM00163_consensus,117,117,1
DTH_ZM00168_consensus,854,854,1
DTH_ZM00178_consensus,331,331,1
DTH_ZM00180_consensus,290,290,1
DTH_ZM00181_consensus,244,411,1.68442623
DTH_ZM00184_consensus,141,141,1
DTH_ZM00193_consensus,297,297,1
DTH_ZM00194_consensus,333,333,1
DTH_ZM00195_consensus,301,301,1
DTH_ZM00199_consensus,227,388,1.709251101
DTH_ZM00202_consensus,319,319,1
DTH_ZM00206_consensus,457,457,1
DTH_ZM00211_consensus,266,266,1
DTH_ZM00218_consensus,496,652,1.314516129
DTH_ZM00220_consensus,129,129,1
DTH_ZM00226_consensus,127,127,1
DTH_ZM00234_consensus,765,765,1
DTH_ZM00236_consensus,657,801,1.219178082
DTH_ZM00240_consensus,769,769,1
DTH_ZM00241_consensus,384,384,1
DTH_ZM00244_consensus,582,582,1
DTH_ZM00246_consensus,309,309,1
DTH_ZM00249_consensus,116,116,1
DTH_ZM00270_consensus,289,289,1
DTH_ZM00273_consensus,324,324,1
DTH_ZM00276_consensus,117,117,1
DTH_ZM00285_consensus,199,378,1.899497487
DTH_ZM00288_consensus,219,374,1.707762557
DTH_ZM00291_consensus,340,340,1
DTH_ZM00292_consensus,601,601,1
DTH_ZM00307_consensus,192,192,1
DTH_ZM00311_consensus,342,342,1
DTH_ZM00314_consensus,191,191,1
DTH_ZM00316_consensus,224,224,1
DTH_ZM00320_consensus,158,300,1.898734177
DTH_ZM00324_consensus,1135,1135,1
DTH_ZM00325_consensus,273,273,1
DTH_ZM00326_consensus,201,201,1
DTH_ZM00327_consensus,78,217,2.782051282
DTH_ZM00335_consensus,212,212,1
DTH_ZM00340_consensus,305,305,1
DTH_ZM00347_consensus,384,384,1
DTH_ZM00350_consensus,281,281,1
DTH_ZM00351_consensus,128,128,1
DTH_ZM00358_consensus,208,278,1.336538462
DTH_ZM00361_consensus,128,128,1
DTH_ZM00364_consensus,121,121,1
DTH_ZM00367_consensus,193,390,2.020725389
DTH_ZM00368_consensus,127,127,1
DTH_ZM00374_consensus,444,444,1
DTH_ZM00382_consensus,108,108,1
DTH_ZM00385_consensus,326,326,1
DTH_ZM00388_consensus,479,621,1.296450939
DTH_ZM00391_consensus,166,338,2.036144578
DTH_ZM00395_consensus,602,602,1
DTH_ZM00409_consensus,179,179,1
DTH_ZM00410_consensus,191,191,1
DTH_ZM00412_consensus,343,343,1
DTH_ZM00418_consensus,191,191,1
DTH_ZM00424_consensus,234,234,1
DTH_ZM00431_consensus,385,385,1
DTH_ZM00433_consensus,220,399,1.813636364
DTH_ZM00451_consensus,800,936,1.17
DTH_ZM00453_consensus,127,127,1
DTH_ZM00458_consensus,116,116,1
DTH_ZM00460_consensus,98,98,1
DTH_ZM00463_consensus,406,406,1
DTH_ZM00465_consensus,224,224,1
DTH_ZM00471_consensus,332,332,1
DTH_ZM00479_consensus,385,558,1.449350649
DTH_ZM00485_consensus,81,81,1
DTH_ZM00489_consensus,190,190,1
DTH_ZM00495_consensus,233,233,1
DTM_Zm00030_AC190592-1,8356,10684,1.278602202
DTM_Zm00118_consensus,155,155,1
DTM_Zm00197_AC185211-1,2526,6031,2.387569279
DTM_Zm00257_consensus,155,155,1
DTM_Zm00266_consensus,238,238,1
DTM_Zm00268_AC191380-1,1829,3101,1.695462001
DTM_Zm00299_consensus,242,242,1
DTM_Zm00346_AC182611-1,419,8819,21.0477327
DTM_Zm00364_AC196271-1,1471,1906,1.295717199
DTM_Zm00473_AC191070-1,1243,1243,1
DTM_Zm00555_consensus,245,245,1
DTM_Zm00614_AC192252-1,1027,1269,1.23563778
DTM_Zm00628_AC207419-1,11222,12216,1.088576011
DTM_Zm00665_AC184764-1,9713,10858,1.117883249
DTM_Zm00673_AC187563-1,1171,2057,1.756618275
DTM_Zm00743_AC177943-1,8557,8557,1
DTM_Zm00796_consensus,197,197,1
DTM_Zm00800_consensus,240,240,1
DTM_Zm00850_AC186314-1,1216,1926,1.583881579
DTM_Zm00851_AC186342-1,2888,5264,1.822714681
DTM_Zm00884_AC214130-1,2485,5516,2.21971831
DTM_Zm01468_AC186160-1,4797,4992,1.040650407
DTM_Zm01472_AC185516-1,1376,2507,1.821947674
DTM_Zm01654_consensus,246,246,1
DTM_Zm01980_AC186668-1,646,8555,13.24303406
DTM_Zm02039_AC199523-1,349,349,1
DTM_Zm02066_AC183508-1,2228,3484,1.563734291
DTM_Zm02084_consensus,204,204,1
DTM_Zm02117_AC177838-1,11152,11680,1.047345768
DTM_Zm02275_consensus,254,254,1
DTM_Zm02569_AC177893-1,2707,4944,1.826376062
DTM_Zm02656_AC189800-1,2058,4498,2.185617104
DTM_Zm02661_AC177816-1,1987,10349,5.208354303
DTM_Zm02703_AC177838-1,1331,1789,1.344102179
DTM_Zm02731_AC194595-1,8676,11001,1.267980636
DTM_Zm02785_AC190936-1,1238,1682,1.358642973
DTM_Zm02947_AC197071-1,1726,10221,5.921784473
DTM_Zm03238_AC195860-1,373,1056,2.831099196
DTM_Zm03556_AC177900-1,1873,1873,1
DTM_Zm03723_AC185669-1,2086,3993,1.914189837
DTM_Zm03788_AC184173-1,1816,4017,2.212004405
DTM_Zm04488_AC195819-1,4269,10315,2.416256735
DTM_Zm04817_AC194407-1,6849,12512,1.826836034
DTM_Zm05382_AC195362-1,2707,3864,1.427410417
DTM_Zm05901_AC190666-1,1172,3222,2.749146758
DTM_Zm05916_AC211649-1,1403,2581,1.839629366
DTM_Zm06094_AC207124-1,1192,3326,2.790268456
DTM_Zm06136_AC196794-1,3137,3137,1
DTM_Zm06455_AC195585-1,2528,5202,2.057753165
DTM_Zm06456_AC194253-1,2563,5658,2.207569255
DTM_Zm06948_consensus,161,161,1
DTM_Zm07209_AC211743-1,2539,2539,1
DTM_Zm08014_AC190710-1,4007,4007,1
DTM_Zm08178_AC186417-1,2931,6653,2.269873763
DTM_Zm08412_AC199539-1,238,238,1
DTM_Zm08670_AC200188-1,2308,8397,3.638214905
DTM_Zm08959_AC199876-1,1047,3183,3.040114613
DTM_Zm09546_AC191082-1,2618,4277,1.63368984
DTM_Zm09664_AC195786-1,4089,8202,2.005869406
DTM_Zm09941_consensus,124,124,1
DTM_Zm10163_AC191604-1,1463,3510,2.399179768
DTM_Zm10271_AC186904-1,2239,4788,2.138454667
DTM_Zm10339_AC191267-1,1740,4147,2.383333333
DTM_Zm10582IC_AC215679-1,2018,2355,1.166997027
DTM_Zm10723_AC196159-1,1806,3156,1.747508306
DTM_Zm11868_AC202888-1,3572,3572,1
DTM_Zm12110_AC207526-1,1520,3057,2.011184211
DTM_Zm12576_AC196989-1,1376,3539,2.571947674
DTM_Zm12720_AC207543-1,1902,2947,1.549421661
DTM_Zm13526_AC198651-1,2859,2859,1
DTM_Zm13585_AC195825-1,2925,4200,1.435897436
DTM_Zm14108_AC190892-1,4379,4379,1
DTM_Zm14377_AC199567-1,5160,5260,1.019379845
DTM_Zm14961_AC204776-1,2823,3447,1.221041445
DTM_Zm15241_AC184857-1,2025,2428,1.199012346
DTM_Zm15648_AC201970-1,6427,6427,1
DTM_Zm15816_AC194642-1,1896,3598,1.897679325
DTM_Zm16884_AC205840-1,2065,4201,2.034382567
DTM_Zm17123_consensus,265,265,1
DTM_Zm17242_AC197682-1,2646,5805,2.193877551
DTM_Zm17860_AC184871-1,2121,4252,2.004714757
DTM_Zm17880_AC193398-3,1703,3826,2.246623605
DTM_Zm18028_consensus,125,125,1
DTM_Zm18059_AC186819-1,2008,2008,1
DTM_Zm18165_AC204287-1,8661,14159,1.634799677
DTM_Zm18873_AC215861-1,116,116,1
DTM_Zm19358_AC198478-1,949,3189,3.360379347
DTM_Zm19831_AC209995-1,2499,4077,1.631452581
DTM_Zm19950_AC214136-1,2486,2486,1
DTM_Zm20218_AC204546-1,1887,4130,2.188659247
DTM_Zm20301_AC191081-1,3708,3708,1
DTM_Zm20615_AC216184-1,2231,3374,1.512326311
DTM_Zm21089_AC203211-1,2644,3919,1.482223903
DTM_Zm21197_consensus,153,153,1
DTM_Zm21757_AC193965-1,2268,5273,2.324955908
DTM_Zm22986_AC206272-1,1033,1764,1.707647628
