Originalname,Chromosome_B73RefGen_v2position(bp)
PUT-163a-110526809-109,8_5319559
PUT-163a-110541282-114,9_153607154
PUT-163a-110541282-116,9_153606814
PUT-163a-110541282-118,9_153607090
PUT-163a-110941068-122,1_279418573
PUT-163a-110942968-126,1_44193089
PUT-163a-110954028-127,8_68935374
PUT-163a-110957431-128,5_157145099
PUT-163a-110957431-129,5_157145619
PUT-163a-110957431-132,5_157144860
PUT-163a-110957431-133,5_157145195
PUT-163a-110963035-134,5_70028490
PUT-163a-110964923-135,8_77752430
PUT-163a-110964923-136,8_77752303
PUT-163a-110967306-138,3_193757793
PUT-163a-110971340-142,6_23724266
PUT-163a-111190332-143,3_156483037
PUT-163a-111191936-146,3_230511799
PUT-163a-111191936-147,3_230511572
PUT-163a-111191936-148,3_230511871
PUT-163a-113746821-154,7_146895122
PUT-163a-113760315-155,3_54175875
PUT-163a-12967977-159,1_55071595
PUT-163a-13125867-163,2_102751268
PUT-163a-13125867-165,2_102751133
PUT-163a-13126581-167,6_147725183
PUT-163a-13126597-170,5_175653483
PUT-163a-13177814-171,10_70278799
PUT-163a-13177814-172,10_70278812
PUT-163a-13177998-175,5_5287947
PUT-163a-13178383-177,1_188083114
PUT-163a-13178383-179,1_188083030
PUT-163a-13178596-180,1_213653134
PUT-163a-13178596-181,1_213653135
PUT-163a-13198269-190,6_655974
PUT-163a-13198279-191,2_208530886
PUT-163a-13198758-192,7_154456923
PUT-163a-13198758-193,7_154456657
PUT-163a-13237058-195,1_6198480
PUT-163a-13237098-196,6_102754652
PUT-163a-13237300-197,6_102754576
PUT-163a-13237300-198,6_102754379
PUT-163a-13249976-199,3_230607267
PUT-163a-13249976-201,3_230607205
PUT-163a-13381789-203,9_33129562
PUT-163a-13381789-204,9_33137879
PUT-163a-13381789-205,9_33129512
PUT-163a-13381909-209,2_4193425
PUT-163a-13382148-213,3_13686484
PUT-163a-13388727-218,3_187719476
PUT-163a-13388743-219,4_185522892
PUT-163a-13388772-220,5_216741249
PUT-163a-13389114-224,1_226177924
PUT-163a-13490777-226,3_195511717
PUT-163a-13490836-230,5_8259957
PUT-163a-13515901-236,2_127093231
PUT-163a-13515992-237,9_25926841
PUT-163a-13516036-239,2_102751412
PUT-163a-13516036-240,2_102752398
PUT-163a-13516036-241,2_102751430
PUT-163a-13516046-244,5_214379280
PUT-163a-13516057-247,1_248150765
PUT-163a-13557719-256,8_1831996
PUT-163a-13557940-262,4_235724555
PUT-163a-13558071-264,8_1832328
PUT-163a-13558074-265,1_225494319
PUT-163a-13558106-266,2_176244039
PUT-163a-13558106-270,2_176244058
PUT-163a-13558561-273,3_212439775
PUT-163a-13558812-276,8_14389843
PUT-163a-13558894-277,7_154456362
PUT-163a-13558909-278,8_65786342
PUT-163a-14206659-281,1_43121033
PUT-163a-14208484-282,8_147265754
PUT-163a-14242684-283,2_176024281
PUT-163a-14242945-289,1_35240212
PUT-163a-14243393-293,2_127093474
PUT-163a-14243393-294,2_127093416
PUT-163a-14243451-296,4_223045937
PUT-163a-14243719-298,6_125012734
PUT-163a-14243818-300,4_143083143
PUT-163a-14243818-301,4_143083142
PUT-163a-14243879-303,8_3197876
PUT-163a-14243879-304,8_3197927
PUT-163a-14243975-306,2_22703885
PUT-163a-14244132-307,7_159727557
PUT-163a-14244132-309,7_159727684
PUT-163a-14244132-310,7_159728134
PUT-163a-14244160-315,4_161070949
PUT-163a-14244221-316,1_293151079
PUT-163a-14244221-317,1_293151176
PUT-163a-14244221-318,1_293151160
PUT-163a-14244370-319,5_4312078
PUT-163a-14244370-320,5_4312229
PUT-163a-14244700-329,4_36882018
PUT-163a-14244713-330,1_273984314
PUT-163a-14244713-332,1_273983998
PUT-163a-14244713-333,1_273984158
PUT-163a-14244745-334,8_146890953
PUT-163a-14245173-338,3_13686410
PUT-163a-14245173-339,3_13686330
PUT-163a-14245438-342,9_42836202
PUT-163a-14245519-343,2_222879720
PUT-163a-14245519-344,2_222880092
PUT-163a-148928624-347,2_44391567
PUT-163a-148928624-349,2_44391336
PUT-163a-148928654-351,7_19346867
PUT-163a-148928873-366,9_142293132
PUT-163a-148929070-368,9_22783431
PUT-163a-148931114-379,5_6688415
PUT-163a-148931636-387,6_41190401
PUT-163a-148932938-397,1_161027955
PUT-163a-148934522-399,2_143045740
PUT-163a-148934796-402,8_107014503
PUT-163a-148935184-404,6_31869486
PUT-163a-148935184-405,6_31869592
PUT-163a-148935653-407,4_230213518
PUT-163a-148937427-415,9_153562187
PUT-163a-148937438-418,3_43230424
PUT-163a-148937438-419,3_43230504
PUT-163a-148937458-421,7_82007235
PUT-163a-148937489-423,1_201486854
PUT-163a-148937489-424,1_201486679
PUT-163a-148937637-425,1_214844823
PUT-163a-148937637-426,1_214844585
PUT-163a-148938321-429,9_145041919
PUT-163a-148939763-432,5_169458753
PUT-163a-148939817-433,2_137977389
PUT-163a-148940282-434,2_213948425
PUT-163a-148940529-435,5_206015849
PUT-163a-148940529-436,5_206015749
PUT-163a-148940757-437,2_190159834
PUT-163a-148941096-438,9_25924129
PUT-163a-148941238-439,4_53079579
PUT-163a-148941933-443,1_292880382
PUT-163a-148941943-446,3_121073008
PUT-163a-148941943-447,3_121072871
PUT-163a-148941995-448,3_140726385
PUT-163a-148942056-449,7_174506330
PUT-163a-148942482-452,10_61794344
PUT-163a-148942482-455,10_61794952
PUT-163a-148942558-457,7_33227758
PUT-163a-148942702-460,1_250067269
PUT-163a-148943092-471,7_19494829
PUT-163a-148943092-472,7_19495242
PUT-163a-148943463-473,4_158559172
PUT-163a-148944608-478,1_167198255
PUT-163a-148944618-481,1_19328048
PUT-163a-148945329-486,6_106964538
PUT-163a-148946654-487,3_211146412
PUT-163a-148946654-488,3_211146832
PUT-163a-148946654-489,3_211146466
PUT-163a-148946654-490,3_211146587
PUT-163a-148946654-491,3_211146674
PUT-163a-148946720-493,4_3257611
PUT-163a-148946720-494,4_3257533
PUT-163a-148947019-495,5_14339487
PUT-163a-148947767-496,4_21136656
PUT-163a-148948733-498,9_25257514
PUT-163a-148948733-499,9_25257466
PUT-163a-148949657-500,7_151410381
PUT-163a-148949657-501,7_151410647
PUT-163a-148949704-502,6_160034541
PUT-163a-148949704-503,6_160034634
PUT-163a-148949704-504,6_160034313
PUT-163a-148949777-505,7_157601971
PUT-163a-148949777-506,7_157602034
PUT-163a-148950351-508,1_263200484
PUT-163a-148950916-509,1_162594097
PUT-163a-148950916-510,1_162593622
PUT-163a-148951348-515,3_5788501
PUT-163a-148951459-516,1_254094770
PUT-163a-148951459-517,1_254094758
PUT-163a-148951746-518,7_146497491
PUT-163a-148951746-520,7_146497770
PUT-163a-148951746-521,7_146497600
PUT-163a-148952002-522,2_3806293
PUT-163a-148952002-523,2_3806575
PUT-163a-148952018-525,1_189146267
PUT-163a-148952843-529,3_155961091
PUT-163a-148953270-530,6_58445736
PUT-163a-148954504-535,7_121986488
PUT-163a-148954504-536,7_121986238
PUT-163a-148955657-539,1_258365782
PUT-163a-148956747-550,4_239153867
PUT-163a-148956878-551,9_150650535
PUT-163a-148956878-552,9_150650374
PUT-163a-148957860-553,2_32492387
PUT-163a-148957860-554,2_32492434
PUT-163a-148957989-555,5_181010577
PUT-163a-148958166-556,1_45513087
PUT-163a-148958492-563,1_249538273
PUT-163a-148959370-565,2_232594713
PUT-163a-148959370-566,2_232594235
PUT-163a-148959862-567,6_143134055
PUT-163a-148959862-569,6_143134085
PUT-163a-148960159-570,1_84417683
PUT-163a-148960441-574,4_197714381
PUT-163a-148960523-575,2_236046842
PUT-163a-148960523-576,2_236046853
PUT-163a-148960677-577,2_3606091
PUT-163a-148961306-578,8_172223703
PUT-163a-148961306-579,8_172223546
PUT-163a-148962270-582,10_59439146
PUT-163a-148962814-585,5_212755107
PUT-163a-148962814-587,5_212755328
PUT-163a-148962848-588,7_164203899
PUT-163a-148963268-589,4_843218
PUT-163a-148963268-590,4_843215
PUT-163a-148963268-591,4_843050
PUT-163a-148963330-592,3_157093371
PUT-163a-148963345-597,5_200824929
PUT-163a-148963646-603,6_150889541
PUT-163a-148963646-605,6_150889479
PUT-163a-148963646-608,6_150889532
PUT-163a-148963909-609,8_169061535
PUT-163a-148964266-610,2_213363268
PUT-163a-148964295-611,10_61794305
PUT-163a-148964320-612,5_191770094
PUT-163a-148964486-613,3_205407552
PUT-163a-148965480-616,5_61530860
PUT-163a-148965480-617,5_61531030
PUT-163a-148967445-623,8_145842556
PUT-163a-148967445-624,8_145842405
PUT-163a-148967576-625,7_136148703
PUT-163a-148967626-626,10_123189636
PUT-163a-148967626-627,10_123189453
PUT-163a-148967799-630,4_163769753
PUT-163a-148970214-639,4_144043317
PUT-163a-148970921-643,2_186669143
PUT-163a-148970922-644,10_33614175
PUT-163a-148971843-645,5_181396317
PUT-163a-148971843-646,5_181396326
PUT-163a-148972526-651,3_157093019
PUT-163a-148972807-652,10_146467444
PUT-163a-148972919-653,2_6641268
PUT-163a-148973751-659,2_208531589
PUT-163a-148973751-660,2_208531385
PUT-163a-148973751-661,2_208531422
PUT-163a-148974646-662,3_31898492
PUT-163a-148980630-665,1_223785304
PUT-163a-148981747-666,1_295108756
PUT-163a-148985612-671,4_235166260
PUT-163a-148985612-672,4_235165898
PUT-163a-148985612-677,4_235165782
PUT-163a-148986271-678,3_155960553
PUT-163a-148986559-684,10_139120408
PUT-163a-148986993-685,3_195315915
PUT-163a-148987187-689,5_3430778
PUT-163a-148990812-695,3_204470377
PUT-163a-148991135-699,6_145126299
PUT-163a-148991135-700,6_145125999
PUT-163a-148991135-703,6_145125398
PUT-163a-148991135-704,6_145126278
PUT-163a-148991534-705,10_2799884
PUT-163a-148991534-706,10_2799836
PUT-163a-148991534-709,10_2799564
PUT-163a-148991534-710,10_2799670
PUT-163a-148991595-711,1_243129246
PUT-163a-148991740-712,1_6547172
PUT-163a-148991740-713,1_6547110
PUT-163a-148993560-715,5_21700710
PUT-163a-148994380-717,4_133825220
PUT-163a-148995396-718,3_167473431
PUT-163a-148995421-721,2_32588662
PUT-163a-148999562-726,3_225826110
PUT-163a-149000535-730,2_147300616
PUT-163a-149001382-734,4_187887107
PUT-163a-149005002-739,10_123373760
PUT-163a-149005002-743,10_123374465
PUT-163a-149005002-744,10_123374275
PUT-163a-149005002-746,10_123374075
PUT-163a-149007696-748,2_8548764
PUT-163a-149007696-749,2_8548726
PUT-163a-149008027-750,2_146126538
PUT-163a-149008027-751,2_146125795
PUT-163a-149008324-754,3_50605546
PUT-163a-149009086-759,6_29350835
PUT-163a-149009086-760,6_29350837
PUT-163a-149009633-763,6_62545446
PUT-163a-149012393-767,5_75935491
PUT-163a-149012758-768,5_146846173
PUT-163a-149012758-769,5_146845386
PUT-163a-149013809-771,3_168370827
PUT-163a-149013809-772,3_168371776
PUT-163a-149014113-775,5_155959549
PUT-163a-149014113-776,5_155960517
PUT-163a-149014113-777,5_155959436
PUT-163a-149014113-778,5_155959609
PUT-163a-149015131-783,5_24157556
PUT-163a-149015131-784,5_24157496
PUT-163a-149026621-790,6_165631616
PUT-163a-149026703-794,8_116625507
PUT-163a-149041322-806,1_263143289
PUT-163a-149041322-807,1_263143181
PUT-163a-149042078-808,6_168359954
PUT-163a-149043264-811,5_131620532
PUT-163a-149043264-813,5_131620466
PUT-163a-149043264-814,5_131624011
PUT-163a-149070810-821,1_15071364
PUT-163a-149070811-822,1_15071787
PUT-163a-149071034-826,6_135887447
PUT-163a-149071204-827,10_148974652
PUT-163a-149071455-832,3_167688368
PUT-163a-149071777-834,8_4108583
PUT-163a-149071777-835,8_4108548
PUT-163a-149071857-836,2_3805681
PUT-163a-149072818-838,5_215933877
PUT-163a-149074888-840,7_32626254
PUT-163a-149074888-841,7_32625720
PUT-163a-149074888-842,7_32625703
PUT-163a-149075104-843,1_79715255
PUT-163a-149075652-845,4_204347669
PUT-163a-149076210-846,5_183321037
PUT-163a-149079952-850,3_108707240
PUT-163a-149079952-852,3_108707871
PUT-163a-149080126-857,2_11367572
PUT-163a-149080295-859,9_148226376
PUT-163a-149080295-860,9_148226380
PUT-163a-149080441-863,4_80537071
PUT-163a-149082994-865,2_7292319
PUT-163a-149082994-868,2_7292210
PUT-163a-149083816-872,5_24217168
PUT-163a-149084683-873,1_16604546
PUT-163a-149085801-876,1_28446659
PUT-163a-149085801-877,1_28446550
PUT-163a-149086883-882,1_263148636
PUT-163a-149086978-883,8_156868101
PUT-163a-149086982-884,7_21799369
PUT-163a-149088205-888,5_204822022
PUT-163a-149088205-889,5_204822267
PUT-163a-149095258-897,4_235447529
PUT-163a-149095867-899,6_4802276
PUT-163a-149095867-900,6_4802108
PUT-163a-149096847-902,6_144666248
PUT-163a-149096935-904,5_186092826
PUT-163a-149098745-906,3_167473178
PUT-163a-149098745-907,3_167473319
PUT-163a-149099344-910,3_168698586
PUT-163a-149100124-912,10_147402420
PUT-163a-149100124-914,10_147402456
PUT-163a-149100124-916,10_147402365
PUT-163a-149100218-918,4_41377841
PUT-163a-149100944-925,3_215432046
PUT-163a-149100944-926,3_215432520
PUT-163a-149101061-928,8_160391739
PUT-163a-149101061-929,8_160391664
PUT-163a-149102041-931,2_157292561
PUT-163a-149102555-932,2_88613338
PUT-163a-149105275-937,7_157602244
PUT-163a-149108100-945,3_200165926
PUT-163a-149108100-946,3_200165830
PUT-163a-149108458-947,1_282530892
PUT-163a-149109030-949,3_193758223
PUT-163a-149109388-951,4_217022054
PUT-163a-149109869-954,2_62925278
PUT-163a-149109935-959,6_150887388
PUT-163a-149110076-960,6_140311156
PUT-163a-149110076-961,6_140311142
PUT-163a-149110076-962,6_140311376
PUT-163a-149110508-964,7_7458784
PUT-163a-149111517-965,6_122116260
PUT-163a-149111560-966,2_203633162
PUT-163a-149111560-968,2_203633237
PUT-163a-149111766-970,6_129361537
PUT-163a-149111766-971,6_129361466
PUT-163a-149111766-972,6_129361625
PUT-163a-149111766-973,6_129365100
PUT-163a-149113139-978,5_203547853
PUT-163a-16916618-980,2_219552802
PUT-163a-16917550-981,9_26593128
PUT-163a-16917550-983,9_26593263
PUT-163a-16917550-984,9_26593559
PUT-163a-16917550-985,9_26593151
PUT-163a-16918423-990,5_6866393
PUT-163a-16918459-994,5_192167634
PUT-163a-16918459-995,5_192167812
PUT-163a-16918459-996,5_192167836
PUT-163a-16918459-997,5_192167519
PUT-163a-16919240-1002,8_142297857
PUT-163a-16919241-1005,1_276075809
PUT-163a-16919246-1009,2_46342967
PUT-163a-16919425-1014,2_176244155
PUT-163a-16919428-1017,7_148179455
PUT-163a-16919428-1019,7_148179916
PUT-163a-16919428-1020,7_148179417
PUT-163a-16919470-1022,3_142695575
PUT-163a-16919470-1024,3_142695491
PUT-163a-16919470-1025,3_142695278
PUT-163a-16919470-1026,3_142695512
PUT-163a-16919569-1033,8_146890972
PUT-163a-16919742-1037,6_92996480
PUT-163a-16919993-1038,2_213658579
PUT-163a-16919993-1040,2_213655158
PUT-163a-16919993-1041,2_213656399
PUT-163a-16920212-1045,5_56777557
PUT-163a-16920212-1046,5_56777741
PUT-163a-16920212-1047,5_56777687
PUT-163a-16920349-1051,9_144308202
PUT-163a-16921014-1052,8_27652829
PUT-163a-16921014-1053,8_27652664
PUT-163a-16921107-1057,2_217646220
PUT-163a-16921481-1061,10_124064843
PUT-163a-16922676-1070,1_46065648
PUT-163a-16922676-1072,1_46065675
PUT-163a-16922676-1073,1_46065545
PUT-163a-16922761-1076,2_844170
PUT-163a-16922828-1078,8_134463928
PUT-163a-16922936-1080,9_154642462
PUT-163a-16922936-1081,9_154642451
PUT-163a-16923089-1082,1_120194259
PUT-163a-16925044-1085,5_204089662
PUT-163a-16925263-1086,4_194341420
PUT-163a-16925346-1088,10_23215421
PUT-163a-16925351-1096,5_10418293
PUT-163a-16925568-1101,3_165725417
PUT-163a-16925568-1102,3_165725255
PUT-163a-16925568-1103,3_165725085
PUT-163a-16925711-1108,2_189444141
PUT-163a-16925784-1112,1_283088009
PUT-163a-16925784-1113,1_283087978
PUT-163a-16925813-1118,5_209262778
PUT-163a-16925820-1120,2_213386223
PUT-163a-16925878-1123,8_142294302
PUT-163a-16925922-1125,5_18770133
PUT-163a-16926058-1127,1_2801226
PUT-163a-16926106-1128,9_15983101
PUT-163a-16926106-1129,9_15982995
PUT-163a-16926106-1130,9_15983096
PUT-163a-16926180-1132,7_155586035
PUT-163a-16926213-1140,7_109728151
PUT-163a-16926216-1141,9_128175473
PUT-163a-16926216-1143,9_128175669
PUT-163a-16926285-1144,5_190211048
PUT-163a-16926539-1145,1_292237860
PUT-163a-16926572-1146,3_191612805
PUT-163a-16926903-1152,1_226178055
PUT-163a-16927090-1168,5_216533976
PUT-163a-16927125-1170,9_143803276
PUT-163a-16927508-1172,3_56813579
PUT-163a-16927508-1174,3_56813481
PUT-163a-16927572-1177,7_158152065
PUT-163a-16927623-1182,2_30174011
PUT-163a-16927623-1183,2_30174064
PUT-163a-17930612-1185,1_227783143
PUT-163a-17930671-1186,2_23945047
PUT-163a-17930706-1187,4_195623450
PUT-163a-17930775-1188,10_14645324
PUT-163a-17931061-1191,6_164387488
PUT-163a-17931396-1193,3_168232371
PUT-163a-17931802-1198,6_119200356
PUT-163a-17931802-1199,6_119200431
PUT-163a-17931895-1207,1_120194490
PUT-163a-17932440-1208,6_75518191
PUT-163a-17932440-1212,6_75518548
PUT-163a-17932440-1213,6_75518248
PUT-163a-17932483-1214,7_128433473
PUT-163a-18161947-1215,5_19055653
PUT-163a-18162161-1219,8_112531510
PUT-163a-18162161-1220,8_112531519
PUT-163a-18162176-1222,3_175868628
PUT-163a-18162205-1225,4_145369304
PUT-163a-18162342-1227,8_4281604
PUT-163a-18162524-1229,5_161466302
PUT-163a-18162607-1230,5_213281711
PUT-163a-18162607-1231,5_213281689
PUT-163a-18162870-1232,1_32994296
PUT-163a-18163109-1240,1_225494226
PUT-163a-18163139-1241,6_163177371
PUT-163a-18163148-1243,2_196222087
PUT-163a-18163247-1245,6_35091169
PUT-163a-18163247-1246,6_35091263
PUT-163a-18163291-1247,1_151358264
PUT-163a-18163291-1250,1_151358199
PUT-163a-18163412-1251,9_11080272
PUT-163a-18163412-1252,9_11080686
PUT-163a-18163635-1256,4_18687134
PUT-163a-18163635-1258,4_18687170
PUT-163a-18163705-1263,8_90791109
PUT-163a-18163872-1266,9_47229134
PUT-163a-18163981-1269,6_162307637
PUT-163a-18164071-1270,1_45905635
PUT-163a-18164577-1271,3_163996266
PUT-163a-18164577-1272,3_163996290
PUT-163a-18165512-1274,10_20409881
PUT-163a-18166160-1279,6_66201646
PUT-163a-18166456-1282,9_120363662
PUT-163a-18166553-1285,1_262393863
PUT-163a-18166553-1286,1_262394028
PUT-163a-18166705-1287,3_15231533
PUT-163a-18167596-1292,6_128566486
PUT-163a-18167596-1293,6_128566501
PUT-163a-18167596-1294,6_128566599
PUT-163a-18167719-1295,2_202747686
PUT-163a-18167719-1296,2_202748269
PUT-163a-18167741-1298,1_45513032
PUT-163a-18167798-1299,6_35895867
PUT-163a-18167798-1300,6_35895835
PUT-163a-18167835-1301,5_135845492
PUT-163a-18168329-1303,1_65222570
PUT-163a-18168329-1304,1_65222457
PUT-163a-18168669-1321,6_111021934
PUT-163a-18168669-1322,6_111031131
PUT-163a-18168918-1324,6_154782030
PUT-163a-18169066-1326,3_185307066
PUT-163a-18169066-1327,3_185307001
PUT-163a-18169220-1333,6_164772982
PUT-163a-18169220-1336,6_164772984
PUT-163a-18169220-1339,6_164772897
PUT-163a-18169252-1340,10_130911877
PUT-163a-18170034-1345,9_112950433
PUT-163a-18170187-1348,2_30173884
PUT-163a-18170189-1352,4_167081664
PUT-163a-18170300-1353,3_232040582
PUT-163a-18170300-1354,3_232040512
PUT-163a-18170739-1355,4_236372816
PUT-163a-18170982-1357,4_174040951
PUT-163a-18170982-1358,4_174040993
PUT-163a-18171770-1369,7_155618965
PUT-163a-18171884-1372,7_76579953
PUT-163a-18171884-1373,7_76580092
PUT-163a-18171884-1374,7_76580336
PUT-163a-18172151-1376,9_22678247
PUT-163a-18172180-1378,3_6926847
PUT-163a-18172270-1381,8_149037965
PUT-163a-18172785-1384,5_146842548
PUT-163a-18172785-1385,5_146842584
PUT-163a-18173577-1396,9_139406320
PUT-163a-18173577-1397,9_139406311
PUT-163a-18173577-1400,9_139406597
PUT-163a-18173577-1402,9_139406446
PUT-163a-18173735-1405,8_170328680
PUT-163a-18174110-1409,8_130211321
PUT-163a-18174286-1420,8_134845523
PUT-163a-18174286-1421,8_134845699
PUT-163a-18174696-1422,10_143072695
PUT-163a-18174696-1423,10_143072592
PUT-163a-18174785-1429,4_1484632
PUT-163a-18175166-1431,9_147407394
PUT-163a-18175176-1435,6_140408366
PUT-163a-18176405-1440,2_9503481
PUT-163a-18176536-1442,9_128660606
PUT-163a-18176536-1443,9_128660807
PUT-163a-18176650-1448,1_43120704
PUT-163a-18176670-1449,3_89432165
PUT-163a-18176750-1450,10_106249324
PUT-163a-18176750-1451,10_106249363
PUT-163a-18176904-1455,3_199274499
PUT-163a-18177956-1457,5_168673145
PUT-163a-18178033-1462,9_139187881
PUT-163a-18178381-1466,4_181423521
PUT-163a-18178494-1469,4_129535403
PUT-163a-18178661-1471,3_202140574
PUT-163a-18178995-1475,7_155588031
PUT-163a-18179199-1481,7_142813643
PUT-163a-18179267-1482,3_210715582
PUT-163a-18179267-1485,3_210715510
PUT-163a-18179375-1487,1_217059217
PUT-163a-18179723-1488,3_188335251
PUT-163a-18179896-1490,4_136939128
PUT-163a-18179900-1491,1_290225724
PUT-163a-18179900-1492,1_290224877
PUT-163a-18179900-1493,1_290225856
PUT-163a-18181180-1497,6_4594392
PUT-163a-21329827-1505,6_134923311
PUT-163a-21329873-1510,7_21636688
PUT-163a-21330234-1513,10_24611535
PUT-163a-21330669-1523,8_91992733
PUT-163a-21330794-1525,8_115176442
PUT-163a-21390416-1527,5_197720714
PUT-163a-21390480-1528,6_88998636
PUT-163a-21390532-1529,1_182995323
PUT-163a-21390620-1531,2_230934478
PUT-163a-21390620-1532,2_230934317
PUT-163a-21390620-1533,2_230934374
PUT-163a-21390804-1540,3_54698208
PUT-163a-21391040-1543,5_165657051
PUT-163a-21480943-1549,2_9014041
PUT-163a-21480943-1550,2_9014014
PUT-163a-21481108-1553,6_160162437
