Originalname	Chromosome	B73RefGen_v2position(bp)
PUT-163a-110526809-109	8	5319559
PUT-163a-110541282-114	9	153607154
PUT-163a-110541282-116	9	153606814
PUT-163a-110541282-118	9	153607090
PUT-163a-110941068-122	1	279418573
PUT-163a-110942968-126	1	44193089
PUT-163a-110954028-127	8	68935374
PUT-163a-110957431-128	5	157145099
PUT-163a-110957431-129	5	157145619
PUT-163a-110957431-132	5	157144860
PUT-163a-110957431-133	5	157145195
PUT-163a-110963035-134	5	70028490
PUT-163a-110964923-135	8	77752430
PUT-163a-110964923-136	8	77752303
PUT-163a-110967306-138	3	193757793
PUT-163a-110971340-142	6	23724266
PUT-163a-111190332-143	3	156483037
PUT-163a-111191936-146	3	230511799
PUT-163a-111191936-147	3	230511572
PUT-163a-111191936-148	3	230511871
PUT-163a-113746821-154	7	146895122
PUT-163a-113760315-155	3	54175875
PUT-163a-12967977-159	1	55071595
PUT-163a-13125867-163	2	102751268
PUT-163a-13125867-165	2	102751133
PUT-163a-13126581-167	6	147725183
PUT-163a-13126597-170	5	175653483
PUT-163a-13177814-171	10	70278799
PUT-163a-13177814-172	10	70278812
PUT-163a-13177998-175	5	5287947
PUT-163a-13178383-177	1	188083114
PUT-163a-13178383-179	1	188083030
PUT-163a-13178596-180	1	213653134
PUT-163a-13178596-181	1	213653135
PUT-163a-13198269-190	6	655974
PUT-163a-13198279-191	2	208530886
PUT-163a-13198758-192	7	154456923
PUT-163a-13198758-193	7	154456657
PUT-163a-13237058-195	1	6198480
PUT-163a-13237098-196	6	102754652
PUT-163a-13237300-197	6	102754576
PUT-163a-13237300-198	6	102754379
PUT-163a-13249976-199	3	230607267
PUT-163a-13249976-201	3	230607205
PUT-163a-13381789-203	9	33129562
PUT-163a-13381789-204	9	33137879
PUT-163a-13381789-205	9	33129512
PUT-163a-13381909-209	2	4193425
PUT-163a-13382148-213	3	13686484
PUT-163a-13388727-218	3	187719476
PUT-163a-13388743-219	4	185522892
PUT-163a-13388772-220	5	216741249
PUT-163a-13389114-224	1	226177924
PUT-163a-13490777-226	3	195511717
PUT-163a-13490836-230	5	8259957
PUT-163a-13515901-236	2	127093231
PUT-163a-13515992-237	9	25926841
PUT-163a-13516036-239	2	102751412
PUT-163a-13516036-240	2	102752398
PUT-163a-13516036-241	2	102751430
PUT-163a-13516046-244	5	214379280
PUT-163a-13516057-247	1	248150765
PUT-163a-13557719-256	8	1831996
PUT-163a-13557940-262	4	235724555
PUT-163a-13558071-264	8	1832328
PUT-163a-13558074-265	1	225494319
PUT-163a-13558106-266	2	176244039
PUT-163a-13558106-270	2	176244058
PUT-163a-13558561-273	3	212439775
PUT-163a-13558812-276	8	14389843
PUT-163a-13558894-277	7	154456362
PUT-163a-13558909-278	8	65786342
PUT-163a-14206659-281	1	43121033
PUT-163a-14208484-282	8	147265754
PUT-163a-14242684-283	2	176024281
PUT-163a-14242945-289	1	35240212
PUT-163a-14243393-293	2	127093474
PUT-163a-14243393-294	2	127093416
PUT-163a-14243451-296	4	223045937
PUT-163a-14243719-298	6	125012734
PUT-163a-14243818-300	4	143083143
PUT-163a-14243818-301	4	143083142
PUT-163a-14243879-303	8	3197876
PUT-163a-14243879-304	8	3197927
PUT-163a-14243975-306	2	22703885
PUT-163a-14244132-307	7	159727557
PUT-163a-14244132-309	7	159727684
PUT-163a-14244132-310	7	159728134
PUT-163a-14244160-315	4	161070949
PUT-163a-14244221-316	1	293151079
PUT-163a-14244221-317	1	293151176
PUT-163a-14244221-318	1	293151160
PUT-163a-14244370-319	5	4312078
PUT-163a-14244370-320	5	4312229
PUT-163a-14244700-329	4	36882018
PUT-163a-14244713-330	1	273984314
PUT-163a-14244713-332	1	273983998
PUT-163a-14244713-333	1	273984158
PUT-163a-14244745-334	8	146890953
PUT-163a-14245173-338	3	13686410
PUT-163a-14245173-339	3	13686330
PUT-163a-14245438-342	9	42836202
PUT-163a-14245519-343	2	222879720
PUT-163a-14245519-344	2	222880092
PUT-163a-148928624-347	2	44391567
PUT-163a-148928624-349	2	44391336
PUT-163a-148928654-351	7	19346867
PUT-163a-148928873-366	9	142293132
PUT-163a-148929070-368	9	22783431
PUT-163a-148931114-379	5	6688415
PUT-163a-148931636-387	6	41190401
PUT-163a-148932938-397	1	161027955
PUT-163a-148934522-399	2	143045740
PUT-163a-148934796-402	8	107014503
PUT-163a-148935184-404	6	31869486
PUT-163a-148935184-405	6	31869592
PUT-163a-148935653-407	4	230213518
PUT-163a-148937427-415	9	153562187
PUT-163a-148937438-418	3	43230424
PUT-163a-148937438-419	3	43230504
PUT-163a-148937458-421	7	82007235
PUT-163a-148937489-423	1	201486854
PUT-163a-148937489-424	1	201486679
PUT-163a-148937637-425	1	214844823
PUT-163a-148937637-426	1	214844585
PUT-163a-148938321-429	9	145041919
PUT-163a-148939763-432	5	169458753
PUT-163a-148939817-433	2	137977389
PUT-163a-148940282-434	2	213948425
PUT-163a-148940529-435	5	206015849
PUT-163a-148940529-436	5	206015749
PUT-163a-148940757-437	2	190159834
PUT-163a-148941096-438	9	25924129
PUT-163a-148941238-439	4	53079579
PUT-163a-148941933-443	1	292880382
PUT-163a-148941943-446	3	121073008
PUT-163a-148941943-447	3	121072871
PUT-163a-148941995-448	3	140726385
PUT-163a-148942056-449	7	174506330
PUT-163a-148942482-452	10	61794344
PUT-163a-148942482-455	10	61794952
PUT-163a-148942558-457	7	33227758
PUT-163a-148942702-460	1	250067269
PUT-163a-148943092-471	7	19494829
PUT-163a-148943092-472	7	19495242
PUT-163a-148943463-473	4	158559172
PUT-163a-148944608-478	1	167198255
PUT-163a-148944618-481	1	19328048
PUT-163a-148945329-486	6	106964538
PUT-163a-148946654-487	3	211146412
PUT-163a-148946654-488	3	211146832
PUT-163a-148946654-489	3	211146466
PUT-163a-148946654-490	3	211146587
PUT-163a-148946654-491	3	211146674
PUT-163a-148946720-493	4	3257611
PUT-163a-148946720-494	4	3257533
PUT-163a-148947019-495	5	14339487
PUT-163a-148947767-496	4	21136656
PUT-163a-148948733-498	9	25257514
PUT-163a-148948733-499	9	25257466
PUT-163a-148949657-500	7	151410381
PUT-163a-148949657-501	7	151410647
PUT-163a-148949704-502	6	160034541
PUT-163a-148949704-503	6	160034634
PUT-163a-148949704-504	6	160034313
PUT-163a-148949777-505	7	157601971
PUT-163a-148949777-506	7	157602034
PUT-163a-148950351-508	1	263200484
PUT-163a-148950916-509	1	162594097
PUT-163a-148950916-510	1	162593622
PUT-163a-148951348-515	3	5788501
PUT-163a-148951459-516	1	254094770
PUT-163a-148951459-517	1	254094758
PUT-163a-148951746-518	7	146497491
PUT-163a-148951746-520	7	146497770
PUT-163a-148951746-521	7	146497600
PUT-163a-148952002-522	2	3806293
PUT-163a-148952002-523	2	3806575
PUT-163a-148952018-525	1	189146267
PUT-163a-148952843-529	3	155961091
PUT-163a-148953270-530	6	58445736
PUT-163a-148954504-535	7	121986488
PUT-163a-148954504-536	7	121986238
PUT-163a-148955657-539	1	258365782
PUT-163a-148956747-550	4	239153867
PUT-163a-148956878-551	9	150650535
PUT-163a-148956878-552	9	150650374
PUT-163a-148957860-553	2	32492387
PUT-163a-148957860-554	2	32492434
PUT-163a-148957989-555	5	181010577
PUT-163a-148958166-556	1	45513087
PUT-163a-148958492-563	1	249538273
PUT-163a-148959370-565	2	232594713
PUT-163a-148959370-566	2	232594235
PUT-163a-148959862-567	6	143134055
PUT-163a-148959862-569	6	143134085
PUT-163a-148960159-570	1	84417683
PUT-163a-148960441-574	4	197714381
PUT-163a-148960523-575	2	236046842
PUT-163a-148960523-576	2	236046853
PUT-163a-148960677-577	2	3606091
PUT-163a-148961306-578	8	172223703
PUT-163a-148961306-579	8	172223546
PUT-163a-148962270-582	10	59439146
PUT-163a-148962814-585	5	212755107
PUT-163a-148962814-587	5	212755328
PUT-163a-148962848-588	7	164203899
PUT-163a-148963268-589	4	843218
PUT-163a-148963268-590	4	843215
PUT-163a-148963268-591	4	843050
PUT-163a-148963330-592	3	157093371
PUT-163a-148963345-597	5	200824929
PUT-163a-148963646-603	6	150889541
PUT-163a-148963646-605	6	150889479
PUT-163a-148963646-608	6	150889532
PUT-163a-148963909-609	8	169061535
PUT-163a-148964266-610	2	213363268
PUT-163a-148964295-611	10	61794305
PUT-163a-148964320-612	5	191770094
PUT-163a-148964486-613	3	205407552
PUT-163a-148965480-616	5	61530860
PUT-163a-148965480-617	5	61531030
PUT-163a-148967445-623	8	145842556
PUT-163a-148967445-624	8	145842405
PUT-163a-148967576-625	7	136148703
PUT-163a-148967626-626	10	123189636
PUT-163a-148967626-627	10	123189453
PUT-163a-148967799-630	4	163769753
PUT-163a-148970214-639	4	144043317
PUT-163a-148970921-643	2	186669143
PUT-163a-148970922-644	10	33614175
PUT-163a-148971843-645	5	181396317
PUT-163a-148971843-646	5	181396326
PUT-163a-148972526-651	3	157093019
PUT-163a-148972807-652	10	146467444
PUT-163a-148972919-653	2	6641268
PUT-163a-148973751-659	2	208531589
PUT-163a-148973751-660	2	208531385
PUT-163a-148973751-661	2	208531422
PUT-163a-148974646-662	3	31898492
PUT-163a-148980630-665	1	223785304
PUT-163a-148981747-666	1	295108756
PUT-163a-148985612-671	4	235166260
PUT-163a-148985612-672	4	235165898
PUT-163a-148985612-677	4	235165782
PUT-163a-148986271-678	3	155960553
PUT-163a-148986559-684	10	139120408
PUT-163a-148986993-685	3	195315915
PUT-163a-148987187-689	5	3430778
PUT-163a-148990812-695	3	204470377
PUT-163a-148991135-699	6	145126299
PUT-163a-148991135-700	6	145125999
PUT-163a-148991135-703	6	145125398
PUT-163a-148991135-704	6	145126278
PUT-163a-148991534-705	10	2799884
PUT-163a-148991534-706	10	2799836
PUT-163a-148991534-709	10	2799564
PUT-163a-148991534-710	10	2799670
PUT-163a-148991595-711	1	243129246
PUT-163a-148991740-712	1	6547172
PUT-163a-148991740-713	1	6547110
PUT-163a-148993560-715	5	21700710
PUT-163a-148994380-717	4	133825220
PUT-163a-148995396-718	3	167473431
PUT-163a-148995421-721	2	32588662
PUT-163a-148999562-726	3	225826110
PUT-163a-149000535-730	2	147300616
PUT-163a-149001382-734	4	187887107
PUT-163a-149005002-739	10	123373760
PUT-163a-149005002-743	10	123374465
PUT-163a-149005002-744	10	123374275
PUT-163a-149005002-746	10	123374075
PUT-163a-149007696-748	2	8548764
PUT-163a-149007696-749	2	8548726
PUT-163a-149008027-750	2	146126538
PUT-163a-149008027-751	2	146125795
PUT-163a-149008324-754	3	50605546
PUT-163a-149009086-759	6	29350835
PUT-163a-149009086-760	6	29350837
PUT-163a-149009633-763	6	62545446
PUT-163a-149012393-767	5	75935491
PUT-163a-149012758-768	5	146846173
PUT-163a-149012758-769	5	146845386
PUT-163a-149013809-771	3	168370827
PUT-163a-149013809-772	3	168371776
PUT-163a-149014113-775	5	155959549
PUT-163a-149014113-776	5	155960517
PUT-163a-149014113-777	5	155959436
PUT-163a-149014113-778	5	155959609
PUT-163a-149015131-783	5	24157556
PUT-163a-149015131-784	5	24157496
PUT-163a-149026621-790	6	165631616
PUT-163a-149026703-794	8	116625507
PUT-163a-149041322-806	1	263143289
PUT-163a-149041322-807	1	263143181
PUT-163a-149042078-808	6	168359954
PUT-163a-149043264-811	5	131620532
PUT-163a-149043264-813	5	131620466
PUT-163a-149043264-814	5	131624011
PUT-163a-149070810-821	1	15071364
PUT-163a-149070811-822	1	15071787
PUT-163a-149071034-826	6	135887447
PUT-163a-149071204-827	10	148974652
PUT-163a-149071455-832	3	167688368
PUT-163a-149071777-834	8	4108583
PUT-163a-149071777-835	8	4108548
PUT-163a-149071857-836	2	3805681
PUT-163a-149072818-838	5	215933877
PUT-163a-149074888-840	7	32626254
PUT-163a-149074888-841	7	32625720
PUT-163a-149074888-842	7	32625703
PUT-163a-149075104-843	1	79715255
PUT-163a-149075652-845	4	204347669
PUT-163a-149076210-846	5	183321037
PUT-163a-149079952-850	3	108707240
PUT-163a-149079952-852	3	108707871
PUT-163a-149080126-857	2	11367572
PUT-163a-149080295-859	9	148226376
PUT-163a-149080295-860	9	148226380
PUT-163a-149080441-863	4	80537071
PUT-163a-149082994-865	2	7292319
PUT-163a-149082994-868	2	7292210
PUT-163a-149083816-872	5	24217168
PUT-163a-149084683-873	1	16604546
PUT-163a-149085801-876	1	28446659
PUT-163a-149085801-877	1	28446550
PUT-163a-149086883-882	1	263148636
PUT-163a-149086978-883	8	156868101
PUT-163a-149086982-884	7	21799369
PUT-163a-149088205-888	5	204822022
PUT-163a-149088205-889	5	204822267
PUT-163a-149095258-897	4	235447529
PUT-163a-149095867-899	6	4802276
PUT-163a-149095867-900	6	4802108
PUT-163a-149096847-902	6	144666248
PUT-163a-149096935-904	5	186092826
PUT-163a-149098745-906	3	167473178
PUT-163a-149098745-907	3	167473319
PUT-163a-149099344-910	3	168698586
PUT-163a-149100124-912	10	147402420
PUT-163a-149100124-914	10	147402456
PUT-163a-149100124-916	10	147402365
PUT-163a-149100218-918	4	41377841
PUT-163a-149100944-925	3	215432046
PUT-163a-149100944-926	3	215432520
PUT-163a-149101061-928	8	160391739
PUT-163a-149101061-929	8	160391664
PUT-163a-149102041-931	2	157292561
PUT-163a-149102555-932	2	88613338
PUT-163a-149105275-937	7	157602244
PUT-163a-149108100-945	3	200165926
PUT-163a-149108100-946	3	200165830
PUT-163a-149108458-947	1	282530892
PUT-163a-149109030-949	3	193758223
PUT-163a-149109388-951	4	217022054
PUT-163a-149109869-954	2	62925278
PUT-163a-149109935-959	6	150887388
PUT-163a-149110076-960	6	140311156
PUT-163a-149110076-961	6	140311142
PUT-163a-149110076-962	6	140311376
PUT-163a-149110508-964	7	7458784
PUT-163a-149111517-965	6	122116260
PUT-163a-149111560-966	2	203633162
PUT-163a-149111560-968	2	203633237
PUT-163a-149111766-970	6	129361537
PUT-163a-149111766-971	6	129361466
PUT-163a-149111766-972	6	129361625
PUT-163a-149111766-973	6	129365100
PUT-163a-149113139-978	5	203547853
PUT-163a-16916618-980	2	219552802
PUT-163a-16917550-981	9	26593128
PUT-163a-16917550-983	9	26593263
PUT-163a-16917550-984	9	26593559
PUT-163a-16917550-985	9	26593151
PUT-163a-16918423-990	5	6866393
PUT-163a-16918459-994	5	192167634
PUT-163a-16918459-995	5	192167812
PUT-163a-16918459-996	5	192167836
PUT-163a-16918459-997	5	192167519
PUT-163a-16919240-1002	8	142297857
PUT-163a-16919241-1005	1	276075809
PUT-163a-16919246-1009	2	46342967
PUT-163a-16919425-1014	2	176244155
PUT-163a-16919428-1017	7	148179455
PUT-163a-16919428-1019	7	148179916
PUT-163a-16919428-1020	7	148179417
PUT-163a-16919470-1022	3	142695575
PUT-163a-16919470-1024	3	142695491
PUT-163a-16919470-1025	3	142695278
PUT-163a-16919470-1026	3	142695512
PUT-163a-16919569-1033	8	146890972
PUT-163a-16919742-1037	6	92996480
PUT-163a-16919993-1038	2	213658579
PUT-163a-16919993-1040	2	213655158
PUT-163a-16919993-1041	2	213656399
PUT-163a-16920212-1045	5	56777557
PUT-163a-16920212-1046	5	56777741
PUT-163a-16920212-1047	5	56777687
PUT-163a-16920349-1051	9	144308202
PUT-163a-16921014-1052	8	27652829
PUT-163a-16921014-1053	8	27652664
PUT-163a-16921107-1057	2	217646220
PUT-163a-16921481-1061	10	124064843
PUT-163a-16922676-1070	1	46065648
PUT-163a-16922676-1072	1	46065675
PUT-163a-16922676-1073	1	46065545
PUT-163a-16922761-1076	2	844170
PUT-163a-16922828-1078	8	134463928
PUT-163a-16922936-1080	9	154642462
PUT-163a-16922936-1081	9	154642451
PUT-163a-16923089-1082	1	120194259
PUT-163a-16925044-1085	5	204089662
PUT-163a-16925263-1086	4	194341420
PUT-163a-16925346-1088	10	23215421
PUT-163a-16925351-1096	5	10418293
PUT-163a-16925568-1101	3	165725417
PUT-163a-16925568-1102	3	165725255
PUT-163a-16925568-1103	3	165725085
PUT-163a-16925711-1108	2	189444141
PUT-163a-16925784-1112	1	283088009
PUT-163a-16925784-1113	1	283087978
PUT-163a-16925813-1118	5	209262778
PUT-163a-16925820-1120	2	213386223
PUT-163a-16925878-1123	8	142294302
PUT-163a-16925922-1125	5	18770133
PUT-163a-16926058-1127	1	2801226
PUT-163a-16926106-1128	9	15983101
PUT-163a-16926106-1129	9	15982995
PUT-163a-16926106-1130	9	15983096
PUT-163a-16926180-1132	7	155586035
PUT-163a-16926213-1140	7	109728151
PUT-163a-16926216-1141	9	128175473
PUT-163a-16926216-1143	9	128175669
PUT-163a-16926285-1144	5	190211048
PUT-163a-16926539-1145	1	292237860
PUT-163a-16926572-1146	3	191612805
PUT-163a-16926903-1152	1	226178055
PUT-163a-16927090-1168	5	216533976
PUT-163a-16927125-1170	9	143803276
PUT-163a-16927508-1172	3	56813579
PUT-163a-16927508-1174	3	56813481
PUT-163a-16927572-1177	7	158152065
PUT-163a-16927623-1182	2	30174011
PUT-163a-16927623-1183	2	30174064
PUT-163a-17930612-1185	1	227783143
PUT-163a-17930671-1186	2	23945047
PUT-163a-17930706-1187	4	195623450
PUT-163a-17930775-1188	10	14645324
PUT-163a-17931061-1191	6	164387488
PUT-163a-17931396-1193	3	168232371
PUT-163a-17931802-1198	6	119200356
PUT-163a-17931802-1199	6	119200431
PUT-163a-17931895-1207	1	120194490
PUT-163a-17932440-1208	6	75518191
PUT-163a-17932440-1212	6	75518548
PUT-163a-17932440-1213	6	75518248
PUT-163a-17932483-1214	7	128433473
PUT-163a-18161947-1215	5	19055653
PUT-163a-18162161-1219	8	112531510
PUT-163a-18162161-1220	8	112531519
PUT-163a-18162176-1222	3	175868628
PUT-163a-18162205-1225	4	145369304
PUT-163a-18162342-1227	8	4281604
PUT-163a-18162524-1229	5	161466302
PUT-163a-18162607-1230	5	213281711
PUT-163a-18162607-1231	5	213281689
PUT-163a-18162870-1232	1	32994296
PUT-163a-18163109-1240	1	225494226
PUT-163a-18163139-1241	6	163177371
PUT-163a-18163148-1243	2	196222087
PUT-163a-18163247-1245	6	35091169
PUT-163a-18163247-1246	6	35091263
PUT-163a-18163291-1247	1	151358264
PUT-163a-18163291-1250	1	151358199
PUT-163a-18163412-1251	9	11080272
PUT-163a-18163412-1252	9	11080686
PUT-163a-18163635-1256	4	18687134
PUT-163a-18163635-1258	4	18687170
PUT-163a-18163705-1263	8	90791109
PUT-163a-18163872-1266	9	47229134
PUT-163a-18163981-1269	6	162307637
PUT-163a-18164071-1270	1	45905635
PUT-163a-18164577-1271	3	163996266
PUT-163a-18164577-1272	3	163996290
PUT-163a-18165512-1274	10	20409881
PUT-163a-18166160-1279	6	66201646
PUT-163a-18166456-1282	9	120363662
PUT-163a-18166553-1285	1	262393863
PUT-163a-18166553-1286	1	262394028
PUT-163a-18166705-1287	3	15231533
PUT-163a-18167596-1292	6	128566486
PUT-163a-18167596-1293	6	128566501
PUT-163a-18167596-1294	6	128566599
PUT-163a-18167719-1295	2	202747686
PUT-163a-18167719-1296	2	202748269
PUT-163a-18167741-1298	1	45513032
PUT-163a-18167798-1299	6	35895867
PUT-163a-18167798-1300	6	35895835
PUT-163a-18167835-1301	5	135845492
PUT-163a-18168329-1303	1	65222570
PUT-163a-18168329-1304	1	65222457
PUT-163a-18168669-1321	6	111021934
PUT-163a-18168669-1322	6	111031131
PUT-163a-18168918-1324	6	154782030
PUT-163a-18169066-1326	3	185307066
PUT-163a-18169066-1327	3	185307001
PUT-163a-18169220-1333	6	164772982
PUT-163a-18169220-1336	6	164772984
PUT-163a-18169220-1339	6	164772897
PUT-163a-18169252-1340	10	130911877
PUT-163a-18170034-1345	9	112950433
PUT-163a-18170187-1348	2	30173884
PUT-163a-18170189-1352	4	167081664
PUT-163a-18170300-1353	3	232040582
PUT-163a-18170300-1354	3	232040512
PUT-163a-18170739-1355	4	236372816
PUT-163a-18170982-1357	4	174040951
PUT-163a-18170982-1358	4	174040993
PUT-163a-18171770-1369	7	155618965
PUT-163a-18171884-1372	7	76579953
PUT-163a-18171884-1373	7	76580092
PUT-163a-18171884-1374	7	76580336
PUT-163a-18172151-1376	9	22678247
PUT-163a-18172180-1378	3	6926847
PUT-163a-18172270-1381	8	149037965
PUT-163a-18172785-1384	5	146842548
PUT-163a-18172785-1385	5	146842584
PUT-163a-18173577-1396	9	139406320
PUT-163a-18173577-1397	9	139406311
PUT-163a-18173577-1400	9	139406597
PUT-163a-18173577-1402	9	139406446
PUT-163a-18173735-1405	8	170328680
PUT-163a-18174110-1409	8	130211321
PUT-163a-18174286-1420	8	134845523
PUT-163a-18174286-1421	8	134845699
PUT-163a-18174696-1422	10	143072695
PUT-163a-18174696-1423	10	143072592
PUT-163a-18174785-1429	4	1484632
PUT-163a-18175166-1431	9	147407394
PUT-163a-18175176-1435	6	140408366
PUT-163a-18176405-1440	2	9503481
PUT-163a-18176536-1442	9	128660606
PUT-163a-18176536-1443	9	128660807
PUT-163a-18176650-1448	1	43120704
PUT-163a-18176670-1449	3	89432165
PUT-163a-18176750-1450	10	106249324
PUT-163a-18176750-1451	10	106249363
PUT-163a-18176904-1455	3	199274499
PUT-163a-18177956-1457	5	168673145
PUT-163a-18178033-1462	9	139187881
PUT-163a-18178381-1466	4	181423521
PUT-163a-18178494-1469	4	129535403
PUT-163a-18178661-1471	3	202140574
PUT-163a-18178995-1475	7	155588031
PUT-163a-18179199-1481	7	142813643
PUT-163a-18179267-1482	3	210715582
PUT-163a-18179267-1485	3	210715510
PUT-163a-18179375-1487	1	217059217
PUT-163a-18179723-1488	3	188335251
PUT-163a-18179896-1490	4	136939128
PUT-163a-18179900-1491	1	290225724
PUT-163a-18179900-1492	1	290224877
PUT-163a-18179900-1493	1	290225856
PUT-163a-18181180-1497	6	4594392
PUT-163a-21329827-1505	6	134923311
PUT-163a-21329873-1510	7	21636688
PUT-163a-21330234-1513	10	24611535
PUT-163a-21330669-1523	8	91992733
PUT-163a-21330794-1525	8	115176442
PUT-163a-21390416-1527	5	197720714
PUT-163a-21390480-1528	6	88998636
PUT-163a-21390532-1529	1	182995323
PUT-163a-21390620-1531	2	230934478
PUT-163a-21390620-1532	2	230934317
PUT-163a-21390620-1533	2	230934374
PUT-163a-21390804-1540	3	54698208
PUT-163a-21391040-1543	5	165657051
PUT-163a-21480943-1549	2	9014041
PUT-163a-21480943-1550	2	9014014
PUT-163a-21481108-1553	6	160162437
